Type of Alert,Date,Time,Zone,Latitude,Longitude,city,state,year,month,yearmonth
Single Gunshot,6/13/2013,18:00:00,KansasCityMO,39.043,-94.567,Kansas City,MO,2013,6,162
Single Gunshot,6/13/2013,20:00:00,KansasCityMO,39.063,-94.55,Kansas City,MO,2013,6,162
Multiple Gunshots,6/13/2013,20:00:00,KansasCityMO,39.064,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/13/2013,20:00:00,KansasCityMO,39.065,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/13/2013,21:00:00,KansasCityMO,39.056,-94.563,Kansas City,MO,2013,6,162
Multiple Gunshots,6/13/2013,22:00:00,KansasCityMO,39.059,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/13/2013,23:00:00,KansasCityMO,39.063,-94.568,Kansas City,MO,2013,6,162
Single Gunshot,6/14/2013,9:00:00,KansasCityMO,39.054,-94.572,Kansas City,MO,2013,6,162
Single Gunshot,6/14/2013,19:00:00,KansasCityMO,39.046,-94.571,Kansas City,MO,2013,6,162
Single Gunshot,6/14/2013,19:00:00,KansasCityMO,39.051,-94.56,Kansas City,MO,2013,6,162
Single Gunshot,6/14/2013,20:00:00,KansasCityMO,39.047,-94.57,Kansas City,MO,2013,6,162
Single Gunshot,6/14/2013,20:00:00,KansasCityMO,39.036,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/15/2013,1:00:00,KansasCityMO,39.052,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/15/2013,1:00:00,KansasCityMO,39.034,-94.557,Kansas City,MO,2013,6,162
Single Gunshot,6/15/2013,2:00:00,KansasCityMO,39.039,-94.562,Kansas City,MO,2013,6,162
Multiple Gunshots,6/15/2013,4:00:00,KansasCityMO,39.045,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/15/2013,14:00:00,KansasCityMO,39.053,-94.567,Kansas City,MO,2013,6,162
Single Gunshot,6/15/2013,0:00:00,KansasCityMO,39.042,-94.553,Kansas City,MO,2013,6,162
Multiple Gunshots,6/16/2013,13:00:00,KansasCityMO,39.036,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/16/2013,21:00:00,KansasCityMO,39.045,-94.557,Kansas City,MO,2013,6,162
Single Gunshot,6/16/2013,21:00:00,KansasCityMO,39.044,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/16/2013,22:00:00,KansasCityMO,39.063,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/16/2013,22:00:00,KansasCityMO,39.063,-94.56,Kansas City,MO,2013,6,162
Multiple Gunshots,6/16/2013,0:00:00,KansasCityMO,39.034,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/17/2013,1:00:00,KansasCityMO,39.064,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/17/2013,1:00:00,KansasCityMO,39.065,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/17/2013,10:00:00,KansasCityMO,39.044,-94.551,Kansas City,MO,2013,6,162
Multiple Gunshots,6/17/2013,14:00:00,KansasCityMO,39.042,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/17/2013,19:00:00,KansasCityMO,39.063,-94.55,Kansas City,MO,2013,6,162
Single Gunshot,6/17/2013,23:00:00,KansasCityMO,39.038,-94.567,Kansas City,MO,2013,6,162
Single Gunshot,6/18/2013,12:00:00,KansasCityMO,39.067,-94.56,Kansas City,MO,2013,6,162
Multiple Gunshots,6/19/2013,1:00:00,KansasCityMO,39.058,-94.56,Kansas City,MO,2013,6,162
Single Gunshot,6/19/2013,1:00:00,KansasCityMO,39.064,-94.556,Kansas City,MO,2013,6,162
Single Gunshot,6/19/2013,16:00:00,KansasCityMO,39.033,-94.563,Kansas City,MO,2013,6,162
Single Gunshot,6/19/2013,16:00:00,KansasCityMO,39.034,-94.563,Kansas City,MO,2013,6,162
Multiple Gunshots,6/19/2013,17:00:00,KansasCityMO,39.053,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/19/2013,21:00:00,KansasCityMO,39.036,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/19/2013,23:00:00,KansasCityMO,39.053,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/19/2013,0:00:00,KansasCityMO,39.055,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/20/2013,1:00:00,KansasCityMO,39.054,-94.564,Kansas City,MO,2013,6,162
Single Gunshot,6/20/2013,1:00:00,KansasCityMO,39.052,-94.556,Kansas City,MO,2013,6,162
Multiple Gunshots,6/20/2013,5:00:00,KansasCityMO,39.05,-94.56,Kansas City,MO,2013,6,162
Single Gunshot,6/20/2013,14:00:00,KansasCityMO,39.033,-94.562,Kansas City,MO,2013,6,162
Multiple Gunshots,6/20/2013,15:00:00,KansasCityMO,39.06,-94.556,Kansas City,MO,2013,6,162
Single Gunshot,6/20/2013,21:00:00,KansasCityMO,39.047,-94.57,Kansas City,MO,2013,6,162
Multiple Gunshots,6/21/2013,0:00:00,KansasCityMO,39.056,-94.564,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,1:00:00,KansasCityMO,39.036,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,13:00:00,KansasCityMO,39.052,-94.553,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,17:00:00,KansasCityMO,39.033,-94.556,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,18:00:00,KansasCityMO,39.064,-94.549,Kansas City,MO,2013,6,162
Multiple Gunshots,6/21/2013,22:00:00,KansasCityMO,39.046,-94.558,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,22:00:00,KansasCityMO,39.058,-94.55,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,23:00:00,KansasCityMO,39.054,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,0:00:00,KansasCityMO,39.067,-94.554,Kansas City,MO,2013,6,162
Single Gunshot,6/21/2013,0:00:00,KansasCityMO,39.052,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/22/2013,1:00:00,KansasCityMO,39.05,-94.546,Kansas City,MO,2013,6,162
Single Gunshot,6/22/2013,7:00:00,KansasCityMO,39.054,-94.553,Kansas City,MO,2013,6,162
Single Gunshot,6/22/2013,13:00:00,KansasCityMO,39.037,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/22/2013,19:00:00,KansasCityMO,39.058,-94.55,Kansas City,MO,2013,6,162
Multiple Gunshots,6/22/2013,22:00:00,KansasCityMO,39.051,-94.555,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/22/2013,22:00:00,KansasCityMO,39.045,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/22/2013,23:00:00,KansasCityMO,39.048,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/22/2013,0:00:00,KansasCityMO,39.063,-94.568,Kansas City,MO,2013,6,162
Single Gunshot,6/23/2013,0:00:00,KansasCityMO,39.068,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/23/2013,1:00:00,KansasCityMO,39.038,-94.571,Kansas City,MO,2013,6,162
Single Gunshot,6/23/2013,2:00:00,KansasCityMO,39.051,-94.56,Kansas City,MO,2013,6,162
Single Gunshot,6/23/2013,3:00:00,KansasCityMO,39.065,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/23/2013,22:00:00,KansasCityMO,39.06,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/23/2013,0:00:00,KansasCityMO,39.063,-94.569,Kansas City,MO,2013,6,162
Multiple Gunshots,6/23/2013,0:00:00,KansasCityMO,39.063,-94.569,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,17:00:00,KansasCityMO,39.033,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,17:00:00,KansasCityMO,39.034,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,19:00:00,KansasCityMO,39.052,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,21:00:00,KansasCityMO,39.067,-94.554,Kansas City,MO,2013,6,162
Multiple Gunshots,6/24/2013,21:00:00,KansasCityMO,39.064,-94.55,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,22:00:00,KansasCityMO,39.044,-94.557,Kansas City,MO,2013,6,162
Multiple Gunshots,6/24/2013,23:00:00,KansasCityMO,39.055,-94.569,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,23:00:00,KansasCityMO,39.037,-94.562,Kansas City,MO,2013,6,162
Single Gunshot,6/24/2013,23:00:00,KansasCityMO,39.039,-94.564,Kansas City,MO,2013,6,162
Multiple Gunshots,6/24/2013,23:00:00,KansasCityMO,39.039,-94.564,Kansas City,MO,2013,6,162
Single Gunshot,6/25/2013,19:00:00,KansasCityMO,39.049,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/25/2013,22:00:00,KansasCityMO,39.064,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/26/2013,3:00:00,KansasCityMO,39.062,-94.553,Kansas City,MO,2013,6,162
Single Gunshot,6/26/2013,16:00:00,KansasCityMO,39.061,-94.559,Kansas City,MO,2013,6,162
Single Gunshot,6/26/2013,17:00:00,KansasCityMO,39.053,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/26/2013,18:00:00,KansasCityMO,39.071,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/26/2013,18:00:00,KansasCityMO,39.055,-94.563,Kansas City,MO,2013,6,162
Multiple Gunshots,6/26/2013,0:00:00,KansasCityMO,39.037,-94.552,Kansas City,MO,2013,6,162
Multiple Gunshots,6/26/2013,0:00:00,KansasCityMO,39.037,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/27/2013,7:00:00,KansasCityMO,39.061,-94.558,Kansas City,MO,2013,6,162
Multiple Gunshots,6/27/2013,12:00:00,KansasCityMO,39.05,-94.572,Kansas City,MO,2013,6,162
Single Gunshot,6/27/2013,15:00:00,KansasCityMO,39.064,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/27/2013,19:00:00,KansasCityMO,39.051,-94.56,Kansas City,MO,2013,6,162
Single Gunshot,6/27/2013,22:00:00,KansasCityMO,39.061,-94.547,Kansas City,MO,2013,6,162
Single Gunshot,6/27/2013,22:00:00,KansasCityMO,39.053,-94.555,Kansas City,MO,2013,6,162
Multiple Gunshots,6/27/2013,0:00:00,KansasCityMO,39.045,-94.564,Kansas City,MO,2013,6,162
Single Gunshot,6/27/2013,0:00:00,KansasCityMO,39.053,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,0:00:00,KansasCityMO,39.065,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,1:00:00,KansasCityMO,39.058,-94.56,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,1:00:00,KansasCityMO,39.063,-94.553,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/28/2013,9:00:00,KansasCityMO,39.052,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,12:00:00,KansasCityMO,39.042,-94.573,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,14:00:00,KansasCityMO,39.054,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,14:00:00,KansasCityMO,39.052,-94.568,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,20:00:00,KansasCityMO,39.071,-94.557,Kansas City,MO,2013,6,162
Multiple Gunshots,6/28/2013,22:00:00,KansasCityMO,39.053,-94.547,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,22:00:00,KansasCityMO,39.063,-94.568,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,23:00:00,KansasCityMO,39.052,-94.554,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,23:00:00,KansasCityMO,39.059,-94.558,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,23:00:00,KansasCityMO,39.051,-94.554,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,0:00:00,KansasCityMO,39.066,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,0:00:00,KansasCityMO,39.056,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/28/2013,0:00:00,KansasCityMO,39.036,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,1:00:00,KansasCityMO,39.054,-94.556,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,1:00:00,KansasCityMO,39.053,-94.555,Kansas City,MO,2013,6,162
Multiple Gunshots,6/29/2013,2:00:00,KansasCityMO,39.048,-94.562,Kansas City,MO,2013,6,162
Multiple Gunshots,6/29/2013,2:00:00,KansasCityMO,39.047,-94.562,Kansas City,MO,2013,6,162
Multiple Gunshots,6/29/2013,2:00:00,KansasCityMO,39.045,-94.562,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,2:00:00,KansasCityMO,39.049,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,3:00:00,KansasCityMO,39.064,-94.575,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,3:00:00,KansasCityMO,39.059,-94.556,Kansas City,MO,2013,6,162
Multiple Gunshots,6/29/2013,5:00:00,KansasCityMO,39.059,-94.548,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/29/2013,10:00:00,KansasCityMO,39.053,-94.568,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/29/2013,11:00:00,KansasCityMO,39.054,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,11:00:00,KansasCityMO,39.049,-94.559,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,13:00:00,KansasCityMO,39.053,-94.559,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/29/2013,14:00:00,KansasCityMO,39.07,-94.558,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/29/2013,14:00:00,KansasCityMO,39.041,-94.553,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,16:00:00,KansasCityMO,39.053,-94.563,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,19:00:00,KansasCityMO,39.059,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,19:00:00,KansasCityMO,39.057,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,22:00:00,KansasCityMO,39.044,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,22:00:00,KansasCityMO,39.043,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,22:00:00,KansasCityMO,39.051,-94.561,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,22:00:00,KansasCityMO,39.044,-94.55,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,23:00:00,KansasCityMO,39.049,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,0:00:00,KansasCityMO,39.057,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,0:00:00,KansasCityMO,39.048,-94.55,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,0:00:00,KansasCityMO,39.057,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,0:00:00,KansasCityMO,39.057,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,0:00:00,KansasCityMO,39.057,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/29/2013,0:00:00,KansasCityMO,39.057,-94.565,Kansas City,MO,2013,6,162
Multiple Gunshots,6/29/2013,0:00:00,KansasCityMO,39.057,-94.565,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,0:00:00,KansasCityMO,39.048,-94.55,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,0:00:00,KansasCityMO,39.044,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,1:00:00,KansasCityMO,39.034,-94.562,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,2:00:00,KansasCityMO,39.056,-94.56,Kansas City,MO,2013,6,162
Multiple Gunshots,6/30/2013,4:00:00,KansasCityMO,39.054,-94.559,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/30/2013,10:00:00,KansasCityMO,39.063,-94.55,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/30/2013,11:00:00,KansasCityMO,39.063,-94.55,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/30/2013,11:00:00,KansasCityMO,39.053,-94.571,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/30/2013,12:00:00,KansasCityMO,39.043,-94.55,Kansas City,MO,2013,6,162
Gunshot or Firecracker,6/30/2013,13:00:00,KansasCityMO,39.061,-94.552,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,16:00:00,KansasCityMO,39.054,-94.571,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,17:00:00,KansasCityMO,39.053,-94.572,Kansas City,MO,2013,6,162
Multiple Gunshots,6/30/2013,19:00:00,KansasCityMO,39.053,-94.572,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,19:00:00,KansasCityMO,39.049,-94.553,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,21:00:00,KansasCityMO,39.065,-94.548,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,22:00:00,KansasCityMO,39.064,-94.549,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,22:00:00,KansasCityMO,39.064,-94.555,Kansas City,MO,2013,6,162
Single Gunshot,6/30/2013,22:00:00,KansasCityMO,39.064,-94.551,Kansas City,MO,2013,6,162
Single Gunshot,7/1/2013,0:00:00,KansasCityMO,39.044,-94.552,Kansas City,MO,2013,7,163
Multiple Gunshots,7/1/2013,3:00:00,KansasCityMO,39.056,-94.566,Kansas City,MO,2013,7,163
Multiple Gunshots,7/1/2013,6:00:00,KansasCityMO,39.055,-94.547,Kansas City,MO,2013,7,163
Single Gunshot,7/1/2013,12:00:00,KansasCityMO,39.053,-94.57,Kansas City,MO,2013,7,163
Single Gunshot,7/1/2013,16:00:00,KansasCityMO,39.066,-94.569,Kansas City,MO,2013,7,163
Multiple Gunshots,7/1/2013,21:00:00,KansasCityMO,39.063,-94.569,Kansas City,MO,2013,7,163
Single Gunshot,7/1/2013,22:00:00,KansasCityMO,39.052,-94.56,Kansas City,MO,2013,7,163
Single Gunshot,7/1/2013,0:00:00,KansasCityMO,39.048,-94.55,Kansas City,MO,2013,7,163
Multiple Gunshots,7/2/2013,1:00:00,KansasCityMO,39.037,-94.568,Kansas City,MO,2013,7,163
Single Gunshot,7/2/2013,2:00:00,KansasCityMO,39.049,-94.573,Kansas City,MO,2013,7,163
Single Gunshot,7/2/2013,3:00:00,KansasCityMO,39.045,-94.549,Kansas City,MO,2013,7,163
Multiple Gunshots,7/2/2013,3:00:00,KansasCityMO,39.045,-94.549,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/2/2013,10:00:00,KansasCityMO,39.052,-94.555,Kansas City,MO,2013,7,163
Multiple Gunshots,7/2/2013,22:00:00,KansasCityMO,39.06,-94.555,Kansas City,MO,2013,7,163
Multiple Gunshots,7/2/2013,23:00:00,KansasCityMO,39.052,-94.555,Kansas City,MO,2013,7,163
Single Gunshot,7/2/2013,0:00:00,KansasCityMO,39.045,-94.559,Kansas City,MO,2013,7,163
Multiple Gunshots,7/2/2013,0:00:00,KansasCityMO,39.055,-94.554,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/3/2013,8:00:00,KansasCityMO,39.033,-94.556,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/3/2013,10:00:00,KansasCityMO,39.062,-94.553,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,12:00:00,KansasCityMO,39.064,-94.565,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,15:00:00,KansasCityMO,39.056,-94.567,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,20:00:00,KansasCityMO,39.053,-94.567,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,21:00:00,KansasCityMO,39.044,-94.55,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,21:00:00,KansasCityMO,39.068,-94.551,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/3/2013,21:00:00,KansasCityMO,39.069,-94.553,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,21:00:00,KansasCityMO,39.034,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/3/2013,21:00:00,KansasCityMO,39.069,-94.556,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,22:00:00,KansasCityMO,39.059,-94.566,Kansas City,MO,2013,7,163
Multiple Gunshots,7/3/2013,22:00:00,KansasCityMO,39.045,-94.57,Kansas City,MO,2013,7,163
Multiple Gunshots,7/3/2013,22:00:00,KansasCityMO,39.043,-94.551,Kansas City,MO,2013,7,163
Multiple Gunshots,7/3/2013,22:00:00,KansasCityMO,39.052,-94.564,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,23:00:00,KansasCityMO,39.067,-94.551,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,23:00:00,KansasCityMO,39.047,-94.569,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,23:00:00,KansasCityMO,39.066,-94.553,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,0:00:00,KansasCityMO,39.043,-94.551,Kansas City,MO,2013,7,163
Single Gunshot,7/3/2013,0:00:00,KansasCityMO,39.042,-94.551,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,0:00:00,KansasCityMO,39.037,-94.573,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,0:00:00,KansasCityMO,39.064,-94.573,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,1:00:00,KansasCityMO,39.033,-94.557,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,2:00:00,KansasCityMO,39.06,-94.559,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,3:00:00,KansasCityMO,39.053,-94.559,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,7:00:00,KansasCityMO,39.042,-94.552,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,8:00:00,KansasCityMO,39.041,-94.552,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,8:00:00,KansasCityMO,39.043,-94.552,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/4/2013,10:00:00,KansasCityMO,39.051,-94.546,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,10:00:00,KansasCityMO,39.063,-94.568,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,12:00:00,KansasCityMO,39.037,-94.568,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,12:00:00,KansasCityMO,39.063,-94.57,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,14:00:00,KansasCityMO,39.058,-94.549,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,17:00:00,KansasCityMO,39.038,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,17:00:00,KansasCityMO,39.063,-94.55,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,17:00:00,KansasCityMO,39.052,-94.572,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,18:00:00,KansasCityMO,39.041,-94.553,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,19:00:00,KansasCityMO,39.061,-94.555,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/4/2013,21:00:00,KansasCityMO,39.056,-94.566,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,21:00:00,KansasCityMO,39.063,-94.549,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,22:00:00,KansasCityMO,39.046,-94.567,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,22:00:00,KansasCityMO,39.05,-94.566,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/4/2013,22:00:00,KansasCityMO,39.066,-94.566,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,22:00:00,KansasCityMO,39.036,-94.572,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,22:00:00,KansasCityMO,39.037,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,22:00:00,KansasCityMO,39.037,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.037,-94.567,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/4/2013,23:00:00,KansasCityMO,39.065,-94.566,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.044,-94.571,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.037,-94.557,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.037,-94.557,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.06,-94.55,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/4/2013,23:00:00,KansasCityMO,39.053,-94.569,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.057,-94.569,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.064,-94.568,Kansas City,MO,2013,7,163
Gunshot or Firecracker,7/4/2013,23:00:00,KansasCityMO,39.037,-94.563,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.045,-94.569,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.037,-94.563,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.049,-94.566,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.049,-94.565,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.05,-94.564,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.049,-94.565,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.05,-94.564,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.035,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.035,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.035,-94.562,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.033,-94.56,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.044,-94.558,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.038,-94.566,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.063,-94.565,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.063,-94.565,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.061,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.061,-94.562,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.052,-94.549,Kansas City,MO,2013,7,163
Single Gunshot,7/4/2013,23:00:00,KansasCityMO,39.065,-94.566,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.035,-94.562,Kansas City,MO,2013,7,163
Multiple Gunshots,7/4/2013,23:00:00,KansasCityMO,39.05,-94.564,Kansas City,MO,2013,7,163
